Date,Headline,URL,Keyword1,Keyword2
2017-11-30,A long-awaited lift at Long Island MacArthur Airport,https://www.newsday.com/opinion/editorial/a-long-awaited-lift-at-long-island-macarthur-airport-1.15250831,MacArthur Airport,
2017-11-29,We deserve accountability and transparency from Congress on sexual harassment,https://www.newsday.com/opinion/editorial/congress-no-sexual-harrassment-settlements-1.15238129,Congress,Sexual harrasment
2017-11-28,President Trump should fulfill his promises on tax reform,https://www.newsday.com/opinion/editorial/donald-trump-broken-promises-taxes-1.15221393,Donald Trump,"Taxes, federal"
2017-11-27,New York’s victorious con-con opponents can now get to work,https://www.newsday.com/opinion/editorial/new-york-s-victorious-con-con-opponents-can-now-get-to-work-1.15099561,Con-Con,Albany
2017-11-26,Build a train to the plane for LaGuardia Airport,https://www.newsday.com/opinion/editorial/laguardia-airport-airtrain-1.15104000,LaGuardia Airport,
2017-11-24,Celebrate with a gift of food and shelter,https://www.newsday.com/opinion/editorial/newsday-help-a-family-1.15101464,Charity,
2017-11-23,A day to break bread and make peace,https://www.newsday.com/opinion/editorial/a-day-to-break-bread-and-make-peace-1.15101395,Thanksgiving,
2017-11-22,Nassau County’s assessment-system snake pit,https://www.newsday.com/opinion/editorial/nassau-county-assessment-problem-1.15090189,"Taxes, property",Nassau County
2017-11-21,Charles Manson reflected humanity’s worst,https://www.newsday.com/opinion/editorial/charles-manson-death-1.15075278,Charles Manson,
2017-11-20,New leaders have a fresh opportunity to develop Nassau Hub,https://www.newsday.com/opinion/editorial/nassau-hub-future-1.15019331,Nassau County,Future of Long Island
2017-11-19,Unequal justice on LI must end,https://www.newsday.com/opinion/editorial/racial-profiling-long-island-nassau-suffolk-police-1.15015367,Policing,Race relations
2017-11-17,"For LIRR riders, a tough winter",https://www.newsday.com/opinion/editorial/editorial-lirr-winter-track-work-1.15005447,LIRR,Amtrak
2017-11-17,Keep U.S. ban on imports of elephant trophies,https://www.newsday.com/opinion/editorial/keep-u-s-ban-on-imports-of-elephant-trophies-1.15005014,Elephant hunting,Trump administration
2017-11-16,"NIFA, Curran must stand firm",https://www.newsday.com/opinion/editorial/nifa-future-nassau-county-1.14991470,Nassau County,NIFA
2017-11-15,Washington should reconsider DACA plans,https://www.newsday.com/opinion/editorial/washington-should-reconsider-daca-plans-1.14979678,Trump administration,Immigration
